timestamp,action,data
2026-01-18T09:53:24.715Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:53:32.675Z,session_start,"{""userAgent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"", ""screenWidth"": 1646, ""screenHeight"": 1029, ""language"": ""en-US"", ""referrer"": ""http://localhost:5173/admin.html""}"
2026-01-18T09:53:32.723Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:54:01.821Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:54:28.165Z,open_chatbot,"{""scene"": ""storeFront""}"
2026-01-18T09:54:31.764Z,send_chat_message,"{""messageLength"": 6, ""scene"": ""storeFront""}"
2026-01-18T09:56:23.882Z,navigate,"{""fromScene"": ""storeFront"", ""toScene"": ""storeP1Left"", ""timeInPreviousScene"": 142}"
2026-01-18T09:56:53.111Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:56:56.410Z,navigate,"{""fromScene"": ""storeFront"", ""toScene"": ""storeP1"", ""timeInPreviousScene"": 3}"
2026-01-18T09:56:58.828Z,navigate,"{""fromScene"": ""storeP1"", ""toScene"": ""storeP1Right"", ""timeInPreviousScene"": 2}"
2026-01-18T09:57:04.264Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:57:06.947Z,navigate,"{""fromScene"": ""storeFront"", ""toScene"": ""storeP1"", ""timeInPreviousScene"": 3}"
2026-01-18T09:57:09.349Z,navigate,"{""fromScene"": ""storeP1"", ""toScene"": ""storeP1Left"", ""timeInPreviousScene"": 2}"
2026-01-18T09:59:08.372Z,view_product,"{""productId"": ""item-l1-2"", ""title"": ""Product 2"", ""scene"": ""storeP1Left""}"
2026-01-18T09:59:11.172Z,view_product,"{""productId"": ""item-l1-4"", ""title"": ""Product 4"", ""scene"": ""storeP1Left""}"
2026-01-18T09:59:12.512Z,view_product,"{""productId"": ""item-l1-3"", ""title"": ""Product 3"", ""scene"": ""storeP1Left""}"
2026-01-18T09:59:13.430Z,view_product,"{""productId"": ""item-l1-1"", ""title"": ""Product 1"", ""scene"": ""storeP1Left""}"
2026-01-18T09:59:16.178Z,navigate,"{""fromScene"": ""storeP1Left"", ""toScene"": ""storeP1"", ""timeInPreviousScene"": 127}"
2026-01-18T10:02:09.428Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T10:02:12.219Z,open_chatbot,"{""scene"": ""storeFront""}"
2026-01-18T10:02:17.516Z,navigate,"{""fromScene"": ""storeFront"", ""toScene"": ""storeP1"", ""timeInPreviousScene"": 8}"
2026-01-18T10:02:17.519Z,send_chat_message,"{""messageLength"": 15, ""scene"": ""storeP1""}"
2026-01-18T10:02:22.184Z,navigate,"{""fromScene"": ""storeP1"", ""toScene"": ""storeP2"", ""timeInPreviousScene"": 5}"
2026-01-18T10:02:25.238Z,navigate,"{""fromScene"": ""storeP2"", ""toScene"": ""storeP1Left"", ""timeInPreviousScene"": 3}"
2026-01-18T10:02:29.013Z,view_product,"{""productId"": ""item-l1-2"", ""title"": ""Product 2"", ""scene"": ""storeP1Left""}"
2026-01-18T10:02:30.836Z,view_product,"{""productId"": ""item-l1-4"", ""title"": ""Product 4"", ""scene"": ""storeP1Left""}"
2026-01-18T10:02:32.317Z,view_product,"{""productId"": ""item-l1-3"", ""title"": ""Product 3"", ""scene"": ""storeP1Left""}"
2026-01-18T10:02:33.672Z,view_product,"{""productId"": ""item-l1-1"", ""title"": ""Product 1"", ""scene"": ""storeP1Left""}"
2026-01-18T10:06:18.953Z,navigate,"{""fromScene"": ""storeP1Left"", ""toScene"": ""storeP1"", ""timeInPreviousScene"": 234}"
2026-01-18T10:06:20.696Z,navigate,"{""fromScene"": ""storeP1"", ""toScene"": ""storeFront"", ""timeInPreviousScene"": 2}"
2026-01-18T10:06:22.164Z,open_chatbot,"{""scene"": ""storeFront""}"
2026-01-18T10:06:27.713Z,send_chat_message,"{""messageLength"": 15, ""scene"": ""storeFront""}"
2026-01-18T10:06:35.152Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T10:06:49.065Z,open_chatbot,"{""scene"": ""storeFront""}"
2026-01-18T10:06:53.315Z,navigate,"{""fromScene"": ""storeFront"", ""toScene"": ""storeP1"", ""timeInPreviousScene"": 18}"
2026-01-18T10:06:53.319Z,send_chat_message,"{""messageLength"": 16, ""scene"": ""storeP1""}"
2026-01-18T10:06:55.868Z,navigate,"{""fromScene"": ""storeP1"", ""toScene"": ""storeFront"", ""timeInPreviousScene"": 3}"
2026-01-18T10:06:57.871Z,navigate,"{""fromScene"": ""storeFront"", ""toScene"": ""storeP2Left"", ""timeInPreviousScene"": 2}"
2026-01-18T10:07:57.495Z,open_cart,"{""scene"": ""storeP2Left""}"
2026-01-18T10:08:29.425Z,enter_scene,"{""sceneId"": ""storeFront""}"
